filepath	title
data/unpaired_data/trainA/101_2.png	arafed view of a clock tower with a sun shining through the sky
data/unpaired_data/trainA/103_2.png	arafed building with a sun shining through the window
data/unpaired_data/trainA/105_2.png	araffes are flying in the sky at sunset with a bright cloud
data/unpaired_data/trainA/107_2.png	there is a clock on the wall above a set of stairs
data/unpaired_data/trainA/109_2.png	there are many tables and umbrellas on the street outside
data/unpaired_data/trainA/113_2.png	there is a small house with a flower garden in front of it
data/unpaired_data/trainA/115_2.png	daytime shot of a field of flowers with a full moon in the background
data/unpaired_data/trainA/120_2.png	there is a flag flying in front of a building with columns
data/unpaired_data/trainA/122_2.png	there is a bed with a computer on it in a room
data/unpaired_data/trainA/123_2.png	there is a man riding a surfboard on a river at day
data/unpaired_data/trainA/124_2.png	daytime view of a clock tower in a city square with buildings
data/unpaired_data/trainA/127_2.png	arafed view of a gothic building with a clock tower
data/unpaired_data/trainA/129_2.png	trees in a field with a blue sky and clouds in the background
data/unpaired_data/trainA/12_10.png	there is a room with a lot of desks and chairs in it
data/unpaired_data/trainA/131_2.png	there is a view of a golf course and a body of water
data/unpaired_data/trainA/132_2.png	there is a large umbrella that is sitting on the sidewalk
data/unpaired_data/trainA/133_10.png	daytime view of a lake with a boat in the distance
data/unpaired_data/trainA/134_2.png	there are two shiny spheres sitting in the grass near a path
data/unpaired_data/trainA/135_2.png	there is a statue of a man holding a bird in the air
data/unpaired_data/trainA/136_2.png	people walking around a building with a clock on the top
data/unpaired_data/trainA/137_2.png	people walking around a courtyard with a sign in front of it
data/unpaired_data/trainA/140_2.png	trees in a park with a bench and a street light
data/unpaired_data/trainA/141_2.png	there is a large tree that is in the middle of a field
data/unpaired_data/trainA/142_2.png	there is a path that leads to a building with statues on it
data/unpaired_data/trainA/145_2.png	there is a path that leads to a park with trees
data/unpaired_data/trainA/151_2.png	daytime view of a city with a lot of buildings and a clock tower
data/unpaired_data/trainA/154_2.png	there is a table and chairs in the middle of a walkway
data/unpaired_data/trainA/155_2.png	tables and chairs in a restaurant with a clock on the wall
data/unpaired_data/trainA/157_2.png	there is a tree that is in the middle of a park
data/unpaired_data/trainA/161_2.png	there is a parking garage with a tree and a car parked in the driveway
data/unpaired_data/trainA/163_2.png	there is a man that is standing in the middle of a park
data/unpaired_data/trainA/169_2.png	there is a large open space with a lot of plants
data/unpaired_data/trainA/16_2.png	arafed windmill in a field with a path leading to it
data/unpaired_data/trainA/170_2.png	there is a path that leads to a building with a red umbrella
data/unpaired_data/trainA/171_2.png	there is a clock on the pole in front of a building
data/unpaired_data/trainA/172_2.png	daytime view of a building with a clock tower in the background
data/unpaired_data/trainA/179_2.png	there is a view of a baseball field from a window
data/unpaired_data/trainA/17_2.png	arafed windmill on a river with a boat in the water
data/unpaired_data/trainA/180_2.png	there is a playground with a lot of people playing in it
data/unpaired_data/trainA/184_2.png	there is a sign on the tree that says no swimming
data/unpaired_data/trainA/185_2.png	trees and bushes surrounding a lake in a park with a building in the background
data/unpaired_data/trainA/187_2.png	trees line the path beside a river with a bench and umbrella
data/unpaired_data/trainA/188_2.png	trees line the path beside a river with a bench and umbrella
data/unpaired_data/trainA/193_10.png	there is a large building with a clock on the top of it
data/unpaired_data/trainA/198_10.png	there is a car parked in the parking lot next to a building
data/unpaired_data/trainA/199_10.png	there are three cows standing in the middle of a road
data/unpaired_data/trainA/200_10.png	there is a view of a city from a hill with a plane flying over it
data/unpaired_data/trainA/205_2.png	there is a building with a clock on the top of it
data/unpaired_data/trainA/20_10.png	there is a microwave and a water bottle on a kitchen counter
data/unpaired_data/trainA/214_10.png	there are two birds perched on the side of a building
data/unpaired_data/trainA/218_2.png	boats are docked in the water near a beach with a fence
data/unpaired_data/trainA/21_10.png	doorway to a bathroom with a phone on the wall and a door handle
data/unpaired_data/trainA/220_2.png	there is a plant in a vase on the floor by the window
data/unpaired_data/trainA/221_2.png	trees in front of a mountain with a cloudy sky
data/unpaired_data/trainA/223_2.png	daytime view of a house with a lit up front door
data/unpaired_data/trainA/226_2.png	there is a train station with a train coming into the station
data/unpaired_data/trainA/227_2.png	there is a person sitting on a bench near a tree
data/unpaired_data/trainA/229_2.png	there is a street with a sign on it that says hong
data/unpaired_data/trainA/23_2.png	there is a tree that is standing in the middle of a desert
data/unpaired_data/trainA/242_2.png	clearly lit man sitting in bright room with computer and bookshelf
data/unpaired_data/trainA/244_2.png	there is a lone train traveling through a forest on a sunny day
data/unpaired_data/trainA/248_2.png	bright clouds hover over a desert landscape with a lone tree
data/unpaired_data/trainA/253_10.png	clearly lit room with a door and a window in the bright
data/unpaired_data/trainA/254_2.png	there is a man that is standing on a skateboard in the bright
data/unpaired_data/trainA/261_2.png	araffes sitting on a branch in front of a sunset
data/unpaired_data/trainA/262A0898.png	there is a man standing next to a large rock in a park
data/unpaired_data/trainA/262A0967.png	there is a man standing on a skateboard on the sidewalk
data/unpaired_data/trainA/262A0981.png	arafed silhouette of a man standing in a bright hallway
data/unpaired_data/trainA/262A1059.png	arafed man standing in front of a window looking out at a plant
data/unpaired_data/trainA/262A1060.png	there is a man standing in a bright room with a chair
data/unpaired_data/trainA/262A1066.png	there is a man standing in a bright room with a chair
data/unpaired_data/trainA/262A1110.png	arafed man in a striped shirt and shorts standing in a hallway
data/unpaired_data/trainA/262A1135.png	arafed man in a striped shirt and shorts standing in front of a window
data/unpaired_data/trainA/262A1136.png	there is a man standing in a room with a cell phone
data/unpaired_data/trainA/262A1149.png	arafed man standing in front of a large window in a building
data/unpaired_data/trainA/262A1163.png	arafed man standing in a bright room with a plant in a pot
data/unpaired_data/trainA/262A1164.png	there is a man standing in a room with a book
data/unpaired_data/trainA/262A1170.png	there is a man standing in a room with a book
data/unpaired_data/trainA/262A1171.png	arafed man standing in a hospital hallway holding a book
data/unpaired_data/trainA/262A1191.png	arafed man sitting in a chair in front of a window
data/unpaired_data/trainA/262A1192.png	there is a man sitting on a skateboard in a room
data/unpaired_data/trainA/262A1198.png	there is a man sitting on a couch in a bright room
data/unpaired_data/trainA/262A1219.png	arafed man holding a box of pizza in front of a building
data/unpaired_data/trainA/262A1220.png	arafed man holding a box of pizza in front of a building
data/unpaired_data/trainA/262A1226.png	there is a man standing on a sidewalk holding a bird
data/unpaired_data/trainA/262A1227.png	araffe man in striped shirt holding a sandwich in front of a building
data/unpaired_data/trainA/262A1254.png	there is a man standing on the sidewalk holding a frisbee
data/unpaired_data/trainA/262A1282.png	there is a man squatting on a skateboard in a courtyard
data/unpaired_data/trainA/262A1311.png	arafed man squatting on a concrete slab in front of a building
data/unpaired_data/trainA/262A1332.png	there is a man standing in front of a large window
data/unpaired_data/trainA/262A1338.png	arafed man standing in front of a large window in a building
data/unpaired_data/trainA/262A1401.png	there is a man standing in a bright room with a cell phone
data/unpaired_data/trainA/262A1408.png	there is a man standing in a bright room with a window
data/unpaired_data/trainA/262A1436.png	there is a man standing in a room with a cell phone
data/unpaired_data/trainA/262A1437.png	there is a man standing in a hallway with a cell phone
data/unpaired_data/trainA/262A1450.png	there is a man standing on a sidewalk in front of a building
data/unpaired_data/trainA/262A1457.png	there is a man standing on a sidewalk talking on a cell phone
data/unpaired_data/trainA/262A1479.png	there is a man standing in front of a window with his hands up
data/unpaired_data/trainA/262A1500.png	arafed man driving a car with a steering wheel in the bright
data/unpaired_data/trainA/262A1556.png	there is a man standing on the sidewalk with a skateboard
data/unpaired_data/trainA/262A1576.png	there is a man sitting on a bench in the bright
data/unpaired_data/trainA/262A1577.png	there is a man sitting on a bench in front of a fence
data/unpaired_data/trainA/262A1590.png	there is a man standing on a ledge with a skateboard
data/unpaired_data/trainA/262A1676.png	there is a desk with a computer and a chair in a room
data/unpaired_data/trainA/262A1887.png	there is a man standing in the bright outside of a building
data/unpaired_data/trainA/262A1894.png	there is a man standing outside of a building in the bright
data/unpaired_data/trainA/262A1901.png	there is a man standing outside of a building with a window
data/unpaired_data/trainA/262A1915.png	there is a man standing in the middle of a street flying a kite
data/unpaired_data/trainA/262A1929.png	there is a man standing outside of a building with his arms crossed
data/unpaired_data/trainA/262A1936.png	there is a man standing on the sidewalk holding a frisbee
data/unpaired_data/trainA/262A1958.png	there is a man standing on the sidewalk looking at his cell phone
data/unpaired_data/trainA/262A1964.png	there is a man standing on the sidewalk next to a tree
data/unpaired_data/trainA/262A2006.png	there is a man standing on the sidewalk next to a stop sign
data/unpaired_data/trainA/262A2020.png	arafed man standing on the side of the road holding a cell phone
data/unpaired_data/trainA/262A2042.png	there is a man that is standing on a skateboard on the sidewalk
data/unpaired_data/trainA/262A2056.png	there is a man standing on the sidewalk using his cell phone
data/unpaired_data/trainA/262A2069.png	there is a man standing in a parking lot with cars
data/unpaired_data/trainA/262A2076.png	there is a man standing in a parking lot with cars
data/unpaired_data/trainA/262A2126.png	there is a man standing on the sidewalk with a skateboard
data/unpaired_data/trainA/262A2140.png	there is a man that is standing on the sidewalk with a skateboard
data/unpaired_data/trainA/262A2155.png	there is a man leaning over a wall to pick up a plant
data/unpaired_data/trainA/262A2161.png	arafed man standing on sidewalk with cell phone in hand
data/unpaired_data/trainA/262A2174.png	arafed man standing in front of a house with a large porch
data/unpaired_data/trainA/262A2209.png	there is a young boy sitting in a chair with an umbrella
data/unpaired_data/trainA/262A2217.png	there is a man sitting in a chair with a cell phone
